51.459006,-2.582730
51.459077,-2.582709
51.459097,-2.582780
51.459042,-2.582741
51.459122,-2.582714
51.459023,-2.582700
51.458996,-2.582679
51.458974,-2.582616
51.458997,-2.582663
51.459025,-2.582601
51.458929,-2.582693
51.459018,-2.582704
51.459006,-2.582791
51.458942,-2.582717
51.459010,-2.582632
51.459084,-2.582565
51.459037,-2.582658
51.458982,-2.582716
51.458918,-2.582753
51.458867,-2.582778
51.458893,-2.582833
51.458821,-2.582818
51.458791,-2.582824
51.458763,-2.582907
51.458714,-2.582998
51.458800,-2.583051
51.458862,-2.583125
51.458777,-2.583088
51.458866,-2.583125
51.458941,-2.583086
51.458913,-2.583005
51.458888,-2.582935
51.458935,-2.582896
51.458969,-2.582980
51.458878,-2.583060
51.458821,-2.582999
51.458741,-2.583086
51.458830,-2.583154
51.458848,-2.583064
51.458822,-2.583159
51.458826,-2.583198
51.458892,-2.583112
51.458818,-2.583046
51.458876,-2.583008
51.458906,-2.582920
51.458853,-2.582924
51.458938,-2.582989
51.458869,-2.582895
51.458833,-2.582818
51.458842,-2.582844
